pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus,,1614
469914911,Problems_TF1_only/COM/COM038_5.p,9375929,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,75.0961,37.0721,34681048,Theorem,Theorem,THM-CRf,CRf,THM,,
469914913,Problems_TF1_only/COM/COM038_5.p,9375929,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.05,300.321,4444668,--,Theorem,UNK-Non,Non,UNK,,
469915001,Problems_TF1_only/COM/COM039_5.p,9376008,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.22,81.7675,38350384,--,Unknown,UNK-Non,Non,UNK,,
469915003,Problems_TF1_only/COM/COM039_5.p,9376008,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.067,300.314,3295176,--,Unknown,UNK-Non,Non,UNK,,
469915103,Problems_TF1_only/COM/COM040_5.p,9376083,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,46.5938,22.44,34969972,Theorem,Theorem,THM-CRf,CRf,THM,,
469915105,Problems_TF1_only/COM/COM040_5.p,9376083,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.09,300.323,4084952,--,Theorem,UNK-Non,Non,UNK,,
469915046,Problems_TF1_only/COM/COM041_5.p,9376046,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,3.50573,3.58332,33769256,Theorem,Theorem,THM-CRf,CRf,THM,,
469915048,Problems_TF1_only/COM/COM041_5.p,9376046,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.03,300.288,5141408,--,Theorem,UNK-Non,Non,UNK,,
469915013,Problems_TF1_only/COM/COM042_5.p,9376015,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,8.19801,8.27313,33771768,Theorem,Theorem,THM-CRf,CRf,THM,,
469915015,Problems_TF1_only/COM/COM042_5.p,9376015,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.02,300.256,5571532,--,Theorem,UNK-Non,Non,UNK,,
469914908,Problems_TF1_only/COM/COM043_5.p,9375927,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.837793,0.896452,33767996,Theorem,Theorem,THM-CRf,CRf,THM,,
469914910,Problems_TF1_only/COM/COM043_5.p,9375927,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.03,300.267,4844232,--,Theorem,UNK-Non,Non,UNK,,
469914917,Problems_TF1_only/COM/COM044_5.p,9375933,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,7.59574,7.06371,33852284,Theorem,Theorem,THM-CRf,CRf,THM,,
469914919,Problems_TF1_only/COM/COM044_5.p,9375933,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.05,300.29,6502528,--,Theorem,UNK-Non,Non,UNK,,
469915007,Problems_TF1_only/COM/COM045_5.p,9376011,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,6.59068,6.66377,33769080,Theorem,Theorem,THM-CRf,CRf,THM,,
469915009,Problems_TF1_only/COM/COM045_5.p,9376011,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.116,300.333,6736740,--,Theorem,UNK-Non,Non,UNK,,
469915055,Problems_TF1_only/COM/COM046_5.p,9376051,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,52.79,24.7926,34526872,Theorem,Theorem,THM-CRf,CRf,THM,,
469915057,Problems_TF1_only/COM/COM046_5.p,9376051,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.01,300.309,4429016,--,Theorem,UNK-Non,Non,UNK,,
469915097,Problems_TF1_only/COM/COM047_5.p,9376079,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,22.062,21.3572,33852792,Theorem,Theorem,THM-CRf,CRf,THM,,
469915099,Problems_TF1_only/COM/COM047_5.p,9376079,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.045,300.33,1220128,--,Theorem,UNK-Non,Non,UNK,,
469915031,Problems_TF1_only/COM/COM048_5.p,9376034,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.07,184.904,34229960,--,Unknown,UNK-Non,Non,UNK,,
469915033,Problems_TF1_only/COM/COM048_5.p,9376034,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.01,300.238,3245180,--,Unknown,UNK-Non,Non,UNK,,
469915121,Problems_TF1_only/COM/COM049_5.p,9376098,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.02,217.513,34226892,--,Unknown,UNK-Non,Non,UNK,,
469915123,Problems_TF1_only/COM/COM049_5.p,9376098,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.1,300.384,2809748,--,Unknown,UNK-Non,Non,UNK,,
469915067,Problems_TF1_only/COM/COM050_5.p,9376057,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.14,161.834,34334384,--,Unknown,UNK-Non,Non,UNK,,
469915069,Problems_TF1_only/COM/COM050_5.p,9376057,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.04,300.321,4487900,--,Unknown,UNK-Non,Non,UNK,,
469915154,Problems_TF1_only/COM/COM051_5.p,9376128,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.28,97.6728,34884156,--,Unknown,UNK-Non,Non,UNK,,
469915156,Problems_TF1_only/COM/COM051_5.p,9376128,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.01,300.271,1929360,--,Unknown,UNK-Non,Non,UNK,,
469914899,Problems_TF1_only/COM/COM052_5.p,9375920,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.04,217.342,34224628,--,Unknown,UNK-Non,Non,UNK,,
469914901,Problems_TF1_only/COM/COM052_5.p,9375920,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.01,300.232,2895764,--,Unknown,UNK-Non,Non,UNK,,
469914944,Problems_TF1_only/COM/COM053_5.p,9375959,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.11,200.958,34200368,--,Unknown,UNK-Non,Non,UNK,,
469914946,Problems_TF1_only/COM/COM053_5.p,9375959,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.07,300.296,998968,--,Unknown,UNK-Non,Non,UNK,,
469914953,Problems_TF1_only/COM/COM054_5.p,9375966,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.06,186.925,34234384,--,Unknown,UNK-Non,Non,UNK,,
469914955,Problems_TF1_only/COM/COM054_5.p,9375966,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.05,300.324,3253012,--,Unknown,UNK-Non,Non,UNK,,
469914893,Problems_TF1_only/COM/COM055_5.p,9375916,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.01,216.788,34216320,--,Unknown,UNK-Non,Non,UNK,,
469914895,Problems_TF1_only/COM/COM055_5.p,9375916,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.074,300.351,1857684,--,Unknown,UNK-Non,Non,UNK,,
469915160,Problems_TF1_only/COM/COM056_5.p,9376133,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.19,198.989,34225336,--,Unknown,UNK-Non,Non,UNK,,
469915162,Problems_TF1_only/COM/COM056_5.p,9376133,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.01,300.24,5060008,--,Unknown,UNK-Non,Non,UNK,,
469915058,Problems_TF1_only/COM/COM057_5.p,9376052,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.02,191.415,34936708,--,Unknown,UNK-Non,Non,UNK,,
469915060,Problems_TF1_only/COM/COM057_5.p,9376052,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.04,300.315,920072,--,Unknown,UNK-Non,Non,UNK,,
469915142,Problems_TF1_only/COM/COM058_5.p,9376120,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.14,197.636,34199764,--,Unknown,UNK-Non,Non,UNK,,
469915144,Problems_TF1_only/COM/COM058_5.p,9376120,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.07,300.332,4448800,--,Unknown,UNK-Non,Non,UNK,,
469915082,Problems_TF1_only/COM/COM059_5.p,9376070,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.01,241.298,34292416,--,Unknown,UNK-Non,Non,UNK,,
469915084,Problems_TF1_only/COM/COM059_5.p,9376070,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.09,300.328,2323448,--,Unknown,UNK-Non,Non,UNK,,
469914875,Problems_TF1_only/COM/COM060_5.p,9375902,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.01,264.667,34202428,--,Unknown,UNK-Non,Non,UNK,,
469914877,Problems_TF1_only/COM/COM060_5.p,9375902,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.02,300.276,986620,--,Unknown,UNK-Non,Non,UNK,,
469914971,Problems_TF1_only/COM/COM061_5.p,9375982,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.12,200.145,34273960,--,Unknown,UNK-Non,Non,UNK,,
469914973,Problems_TF1_only/COM/COM061_5.p,9375982,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.04,300.317,1675188,--,Unknown,UNK-Non,Non,UNK,,
469915091,Problems_TF1_only/COM/COM062_5.p,9376077,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.09,277.436,34241740,--,Unknown,UNK-Non,Non,UNK,,
469915093,Problems_TF1_only/COM/COM062_5.p,9376077,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.03,300.295,567192,--,Unknown,UNK-Non,Non,UNK,,
469915133,Problems_TF1_only/COM/COM063_5.p,9376112,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.07,264.734,34205364,--,Unknown,UNK-Non,Non,UNK,,
469915135,Problems_TF1_only/COM/COM063_5.p,9376112,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.1,300.359,978796,--,Unknown,UNK-Non,Non,UNK,,
469915136,Problems_TF1_only/COM/COM064_5.p,9376114,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.07,242.769,34222588,--,Unknown,UNK-Non,Non,UNK,,
469915138,Problems_TF1_only/COM/COM064_5.p,9376114,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.06,300.331,4523476,--,Unknown,UNK-Non,Non,UNK,,
469915088,Problems_TF1_only/COM/COM065_5.p,9376075,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.59,152.453,34361956,--,Unknown,UNK-Non,Non,UNK,,
469915090,Problems_TF1_only/COM/COM065_5.p,9376075,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.04,300.312,1010372,--,Unknown,UNK-Non,Non,UNK,,
469914974,Problems_TF1_only/COM/COM066_5.p,9375985,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.03,276.685,34255504,--,Unknown,UNK-Non,Non,UNK,,
469914976,Problems_TF1_only/COM/COM066_5.p,9375985,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.05,300.276,5239780,--,Unknown,UNK-Non,Non,UNK,,
469914872,Problems_TF1_only/COM/COM067_5.p,9375900,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.52,245.331,34230340,--,Unknown,UNK-Non,Non,UNK,,
469914874,Problems_TF1_only/COM/COM067_5.p,9375900,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.07,300.312,4415932,--,Unknown,UNK-Non,Non,UNK,,
469914968,Problems_TF1_only/COM/COM068_5.p,9375978,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.18,217.434,34210012,--,Unknown,UNK-Non,Non,UNK,,
469914970,Problems_TF1_only/COM/COM068_5.p,9375978,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.03,300.321,3343736,--,Unknown,UNK-Non,Non,UNK,,
469914878,Problems_TF1_only/COM/COM069_5.p,9375905,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,59.5846,59.5943,33773164,Theorem,Theorem,THM-CRf,CRf,THM,,
469914880,Problems_TF1_only/COM/COM069_5.p,9375905,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.01,300.249,2394976,--,Theorem,UNK-Non,Non,UNK,,
469914980,Problems_TF1_only/COM/COM070_5.p,9375989,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.06,217.618,34210080,--,Unknown,UNK-Non,Non,UNK,,
469914982,Problems_TF1_only/COM/COM070_5.p,9375989,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.07,300.312,3390656,--,Unknown,UNK-Non,Non,UNK,,
469914938,Problems_TF1_only/COM/COM071_5.p,9375950,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.01,241.224,34226720,--,Unknown,UNK-Non,Non,UNK,,
469914940,Problems_TF1_only/COM/COM071_5.p,9375950,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.04,300.314,1747500,--,Unknown,UNK-Non,Non,UNK,,
469915130,Problems_TF1_only/COM/COM072_5.p,9376107,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.15,243.508,34225188,--,Unknown,UNK-Non,Non,UNK,,
