pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus
423880292,Problems/ROB/ROB003-1.p,7415435,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,3.21392,2.19714,7855024.0,Unsatisfiable,Unsatisfiable,UNS-CRf,CRf,UNS
423880293,Problems/ROB/ROB004-1.p,7415436,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,4.39453,2.32637,8363420.0,Unsatisfiable,Unsatisfiable,UNS-CRf,CRf,UNS
423880294,Problems/ROB/ROB005-1.p,7415437,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,27.3721,8.22464,8612596.0,Unsatisfiable,Unsatisfiable,UNS-CRf,CRf,UNS
423880295,Problems/ROB/ROB006-1.p,7415438,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1718.58,520.035,8878512.0,--,Unsatisfiable,UNK-Non,Non,UNK
423880296,Problems/ROB/ROB006-2.p,7415439,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1706.97,520.073,8854092.0,--,Unsatisfiable,UNK-Non,Non,UNK
423880297,Problems/ROB/ROB006-3.p,7415440,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),941.828,520.12,1.564282E7,--,Unsatisfiable,UNK-Non,Non,UNK
423880298,Problems/ROB/ROB007-1.p,7415441,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1708.72,520.182,8845252.0,--,Unknown,UNK-Non,Non,UNK
423880299,Problems/ROB/ROB007-2.p,7415442,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1650.29,520.122,8863412.0,--,Unknown,UNK-Non,Non,UNK
423880300,Problems/ROB/ROB007-3.p,7415443,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1007.03,520.132,8821944.0,--,Unknown,UNK-Non,Non,UNK
423880301,Problems/ROB/ROB007-4.p,7415444,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),766.541,520.058,8819280.0,--,Unknown,UNK-Non,Non,UNK
