pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus
423843497,Problems/PUZ/PUZ060+1.p,7414749,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054489,0.105614,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843498,Problems/PUZ/PUZ061+1.p,7414750,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.056549,0.114149,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423843499,Problems/PUZ/PUZ062-1.p,7414751,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054237,0.124307,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843500,Problems/PUZ/PUZ062-2.p,7414752,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055103,0.058299,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843501,Problems/PUZ/PUZ063-1.p,7414753,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.05443,0.0555821,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843502,Problems/PUZ/PUZ063-2.p,7414754,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054549,0.075698,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843503,Problems/PUZ/PUZ064-1.p,7414755,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055022,0.0584969,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843504,Problems/PUZ/PUZ064-2.p,7414756,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.055012,0.105456,119280.0,Inappropriate,Unsatisfiable,IAP-Non,Non,IAP
423843505,Problems/PUZ/PUZ065+1.p,7414757,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054068,0.056086,119280.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
423843506,Problems/PUZ/PUZ066+1.p,7414758,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.043563,0.0887919,119320.0,Inappropriate,Satisfiable,IAP-Non,Non,IAP
