pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus
470458886,Sledgehammer_lambdas/sn/sn0033.pfho.p,8266143,vampire_polymorphic_csup,26467,casc_abs,344626,complete,104.358,103.821,281900,Theorem,THM-Prf,Prf,THM
470459134,Sledgehammer_lambdas/sn/sn0034.pfho.p,8266205,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.04542,1.04462,153828,Theorem,THM-Prf,Prf,THM
470458838,Sledgehammer_lambdas/sn/sn0035.pfho.p,8266131,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.92322,0.923938,151020,Theorem,THM-Prf,Prf,THM
470459074,Sledgehammer_lambdas/sn/sn0036.pfho.p,8266190,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.24022,1.24416,152808,Theorem,THM-Prf,Prf,THM
470458778,Sledgehammer_lambdas/sn/sn0037.pfho.p,8266116,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.181762,0.180924,113188,Theorem,THM-Prf,Prf,THM
470458822,Sledgehammer_lambdas/sn/sn0038.pfho.p,8266127,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.758392,0.760268,153060,Theorem,THM-Prf,Prf,THM
470459138,Sledgehammer_lambdas/sn/sn0039.pfho.p,8266206,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.088,298.34,533948,--,UNK-Non,Non,UNK
470458734,Sledgehammer_lambdas/sn/sn0040.pfho.p,8266105,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.739077,0.740006,158568,Theorem,THM-Prf,Prf,THM
470459114,Sledgehammer_lambdas/sn/sn0041.pfho.p,8266200,vampire_polymorphic_csup,26467,casc_abs,344626,complete,2.52758,2.53337,155364,Theorem,THM-Prf,Prf,THM
470458794,Sledgehammer_lambdas/sn/sn0042.pfho.p,8266120,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.322161,0.321114,113188,Theorem,THM-Prf,Prf,THM
470459190,Sledgehammer_lambdas/sn/sn0043.pfho.p,8266219,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.24113,1.23648,151784,Theorem,THM-Prf,Prf,THM
470458878,Sledgehammer_lambdas/sn/sn0044.pfho.p,8266141,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.099,298.418,633736,--,UNK-Non,Non,UNK
470458998,Sledgehammer_lambdas/sn/sn0045.pfho.p,8266171,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.01,298.304,685672,--,UNK-Non,Non,UNK
