pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus,,2368
469014213,Problems_HOL_bool_free_only/SYO/SYO216^5.p,9368086,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.123295,0.347153,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014327,Problems_HOL_bool_free_only/SYO/SYO219^5.p,9368373,Satallax---3.4,25864,Satallax---3.4,343516,complete,77.7453,75.7453,2929892,Theorem,Theorem,THM-Prf,Prf,THM,,
469014249,Problems_HOL_bool_free_only/SYO/SYO232^5.p,9368197,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.131968,0.367205,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014015,Problems_HOL_bool_free_only/SYO/SYO237^5.p,9367673,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.132183,0.352722,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014081,Problems_HOL_bool_free_only/SYO/SYO238^5.p,9367839,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.234612,0.468796,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014279,Problems_HOL_bool_free_only/SYO/SYO250^5.p,9368277,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.166132,0.328369,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014288,Problems_HOL_bool_free_only/SYO/SYO257^5.p,9368287,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.03469,1.2786,168292,Theorem,Theorem,THM-Prf,Prf,THM,,
469013973,Problems_HOL_bool_free_only/SYO/SYO270^5.p,9367606,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.32608,1.5504,168268,Theorem,Theorem,THM-Prf,Prf,THM,,
469014006,Problems_HOL_bool_free_only/SYO/SYO279^5.p,9367645,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.128403,0.41127,119288,CounterSatisfiable,CounterSatisfiable,CSA-Ass,Ass,CSA,,
469014384,Problems_HOL_bool_free_only/SYO/SYO290^5.p,9368481,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.121862,0.298575,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014072,Problems_HOL_bool_free_only/SYO/SYO295^5.p,9367829,Satallax---3.4,25864,Satallax---3.4,343516,complete,239.35,239.338,3343828,Timeout,Theorem,TMO-Non,Non,TMO,,
469013979,Problems_HOL_bool_free_only/SYO/SYO328^5.p,9367613,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.126372,0.288038,119288,CounterSatisfiable,CounterSatisfiable,CSA-Ass,Ass,CSA,,
469014135,Problems_HOL_bool_free_only/SYO/SYO344^5.p,9367948,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.126188,0.282209,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014336,Problems_HOL_bool_free_only/SYO/SYO350^5.p,9368382,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.132586,0.308289,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014129,Problems_HOL_bool_free_only/SYO/SYO355^5.p,9367940,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.126492,0.282082,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014084,Problems_HOL_bool_free_only/SYO/SYO360^5.p,9367840,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.04247,1.26363,170080,Theorem,Theorem,THM-Prf,Prf,THM,,
469014273,Problems_HOL_bool_free_only/SYO/SYO380^5.p,9368258,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.124276,0.282501,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014330,Problems_HOL_bool_free_only/SYO/SYO381^5.p,9368380,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.139791,0.302502,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469013991,Problems_HOL_bool_free_only/SYO/SYO382^5.p,9367624,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.155028,0.388842,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014114,Problems_HOL_bool_free_only/SYO/SYO383^5.p,9367915,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.293995,0.450621,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014126,Problems_HOL_bool_free_only/SYO/SYO384^5.p,9367939,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.15285,0.36281,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469013985,Problems_HOL_bool_free_only/SYO/SYO385^5.p,9367618,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.505376,0.729174,164544,Theorem,Theorem,THM-Prf,Prf,THM,,
469014348,Problems_HOL_bool_free_only/SYO/SYO386^5.p,9368402,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.799155,1.03286,164636,Theorem,Theorem,THM-Prf,Prf,THM,,
469014267,Problems_HOL_bool_free_only/SYO/SYO387^5.p,9368251,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.677242,0.917287,165732,Theorem,Theorem,THM-Prf,Prf,THM,,
469014351,Problems_HOL_bool_free_only/SYO/SYO388^5.p,9368412,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.807851,1.02455,167168,Theorem,Theorem,THM-Prf,Prf,THM,,
469014258,Problems_HOL_bool_free_only/SYO/SYO389^5.p,9368236,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.123831,0.378343,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014324,Problems_HOL_bool_free_only/SYO/SYO390^5.p,9368371,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.121837,0.357541,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014189,Problems_HOL_bool_free_only/SYO/SYO391^5.p,9368046,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.64166,1.1707,168724,Theorem,Theorem,THM-Prf,Prf,THM,,
469014027,Problems_HOL_bool_free_only/SYO/SYO502^1.p,9367715,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.133716,0.355823,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014141,Problems_HOL_bool_free_only/SYO/SYO527^1.p,9367951,Satallax---3.4,25864,Satallax---3.4,343516,complete,18.6253,18.8774,548724,Theorem,Theorem,THM-Prf,Prf,THM,,
469014306,Problems_HOL_bool_free_only/SYO/SYO550^1.p,9368340,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.03942,1.21673,168264,Theorem,Theorem,THM-Prf,Prf,THM,,
469014216,Problems_HOL_bool_free_only/SYO/SYO551^1.p,9368092,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.0773,1.2386,168272,Theorem,Theorem,THM-Prf,Prf,THM,,
469014159,Problems_HOL_bool_free_only/SYO/SYO552^1.p,9367970,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.03783,1.21736,168268,Theorem,Theorem,THM-Prf,Prf,THM,,
469014060,Problems_HOL_bool_free_only/SYO/SYO553^1.p,9367806,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.03593,1.28072,168268,Theorem,Theorem,THM-Prf,Prf,THM,,
469014051,Problems_HOL_bool_free_only/SYO/SYO554^1.p,9367788,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.142771,0.316206,119288,Unsatisfiable,Unsatisfiable,UNS-Prf,Prf,UNS,,
469014387,Problems_HOL_bool_free_only/SWV/SWV447^1.p,9394203,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.05616,1.21558,168296,Theorem,Theorem,THM-Prf,Prf,THM,,
469014390,Problems_HOL_bool_free_only/SWW/SWW469^1.p,9397330,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.126879,0.362474,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014861,Problems_HOL_bool_free_only/SEU/SEU501^2.p,9379498,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.2304,0.468106,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014492,Problems_HOL_bool_free_only/SEU/SEU505^2.p,9378383,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.138899,0.385002,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014564,Problems_HOL_bool_free_only/SEU/SEU512^2.p,9378577,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.08138,1.29709,167640,Theorem,Theorem,THM-Prf,Prf,THM,,
469014429,Problems_HOL_bool_free_only/SEU/SEU513^2.p,9378126,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.130003,0.383611,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014411,Problems_HOL_bool_free_only/SEU/SEU514^2.p,9378085,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.03936,1.20391,167528,Theorem,Theorem,THM-Prf,Prf,THM,,
469014576,Problems_HOL_bool_free_only/SEU/SEU515^2.p,9378593,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.251074,0.484484,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014783,Problems_HOL_bool_free_only/SEU/SEU516^2.p,9379232,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.24285,0.464794,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014810,Problems_HOL_bool_free_only/SEU/SEU518^2.p,9379318,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.132063,0.350057,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
469014438,Problems_HOL_bool_free_only/SEU/SEU521^2.p,9378163,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.600419,0.850293,162904,Theorem,Theorem,THM-Prf,Prf,THM,,
469014924,Problems_HOL_bool_free_only/SEU/SEU522^2.p,9379672,Satallax---3.4,25864,Satallax---3.4,343516,complete,1.0352,1.2667,167580,Theorem,Theorem,THM-Prf,Prf,THM,,
469014762,Problems_HOL_bool_free_only/SEU/SEU523^2.p,9379194,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.652585,0.809596,163792,Theorem,Theorem,THM-Prf,Prf,THM,,
469014759,Problems_HOL_bool_free_only/SEU/SEU524^2.p,9379179,Satallax---3.4,25864,Satallax---3.4,343516,complete,0.126569,0.281623,119288,Theorem,Theorem,THM-Prf,Prf,THM,,
