pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus,,5005
469182244,Sledgehammer_lambdas/fta/fta0318.pfho.p,8265458,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.02,298.6,826652,--,UNK-Non,Non,UNK,,
469182442,Sledgehammer_lambdas/fta/fta0319.pfho.p,8265524,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.024,298.592,708184,--,UNK-Non,Non,UNK,,
469182328,Sledgehammer_lambdas/fta/fta0320.pfho.p,8265486,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.05,298.707,1071012,--,UNK-Non,Non,UNK,,
469182667,Sledgehammer_lambdas/fta/fta0321.pfho.p,8265599,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.1,298.568,961000,--,UNK-Non,Non,UNK,,
469182145,Sledgehammer_lambdas/fta/fta0322.pfho.p,8265425,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.096,298.69,1082144,--,UNK-Non,Non,UNK,,
469182493,Sledgehammer_lambdas/fta/fta0323.pfho.p,8265541,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.462453,0.559464,119288,Theorem,THM-Prf,Prf,THM,,
469181953,Sledgehammer_lambdas/fta/fta0324.pfho.p,8265361,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,48.7318,48.6168,781748,Theorem,THM-Prf,Prf,THM,,
469183000,Sledgehammer_lambdas/fta/fta0325.pfho.p,8265710,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.176648,0.341839,119288,Theorem,THM-Prf,Prf,THM,,
469181827,Sledgehammer_lambdas/fta/fta0326.pfho.p,8265319,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.03,298.522,628476,--,UNK-Non,Non,UNK,,
469182862,Sledgehammer_lambdas/fta/fta0327.pfho.p,8265664,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,3.86238,4.06387,216252,Theorem,THM-Prf,Prf,THM,,
